input=C:\Users\walt\Documents\TI-Nspire CX\MyLib\phy.tns
name	method	compressed	uncompressed	crc32	local_header	data_offset
Document.xml	13	509	1152	f7af68db	0x0	0x30
Problem1.xml	13	18165	606145	3679c46c	0x22d	0x257
